




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (7976)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of anatomical structure size (GO:0090066)	514	255	199.06	+	1.28	1.27E-03	4.10E-02
cell development (GO:0048468)	1646	816	637.46	+	1.28	2.65E-09	2.70E-07
posttranscriptional regulation of gene expression (GO:0010608)	581	288	225.01	+	1.28	6.23E-04	2.22E-02
organic cyclic compound biosynthetic process (GO:1901362)	1196	592	463.19	+	1.28	7.01E-07	4.60E-05
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	2002	1568.09	+	1.28	2.07E-23	1.05E-20
positive regulation of cellular protein metabolic process (GO:0032270)	1474	728	570.85	+	1.28	3.41E-08	2.98E-06
behavior (GO:0007610)	557	275	215.71	+	1.27	9.76E-04	3.24E-02
protein ubiquitination (GO:0016567)	746	368	288.91	+	1.27	1.34E-04	5.61E-03
regulation of RNA metabolic process (GO:0051252)	3782	1864	1464.69	+	1.27	4.68E-21	1.80E-18
regulation of transcription, DNA-templated (GO:0006355)	3474	1712	1345.41	+	1.27	4.53E-19	1.52E-16
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1712	1345.79	+	1.27	5.29E-19	1.74E-16
intracellular signal transduction (GO:0035556)	1677	826	649.47	+	1.27	5.29E-09	5.26E-07
regulation of RNA biosynthetic process (GO:2001141)	3480	1714	1347.73	+	1.27	5.52E-19	1.78E-16
positive regulation of cellular component biogenesis (GO:0044089)	534	263	206.81	+	1.27	1.54E-03	4.84E-02
regulation of signal transduction (GO:0009966)	3128	1539	1211.41	+	1.27	1.01E-16	2.74E-14
cellular protein modification process (GO:0006464)	2985	1467	1156.03	+	1.27	8.67E-16	2.05E-13
protein modification process (GO:0036211)	2985	1467	1156.03	+	1.27	8.67E-16	2.02E-13
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1965	1548.73	+	1.27	6.83E-22	3.00E-19
negative regulation of programmed cell death (GO:0043069)	914	449	353.97	+	1.27	2.92E-05	1.42E-03
nucleic acid metabolic process (GO:0090304)	2217	1089	858.60	+	1.27	1.50E-11	2.01E-09
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1949	1536.72	+	1.27	1.34E-21	5.42E-19
negative regulation of cell death (GO:0060548)	1008	495	390.38	+	1.27	1.21E-05	6.27E-04
positive regulation of transport (GO:0051050)	947	464	366.75	+	1.27	2.63E-05	1.29E-03
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1411	1115.36	+	1.27	8.47E-15	1.50E-12
regulation of phosphorylation (GO:0042325)	1391	681	538.70	+	1.26	2.74E-07	1.94E-05
localization within membrane (GO:0051668)	615	301	238.18	+	1.26	8.54E-04	2.90E-02
negative regulation of apoptotic process (GO:0043066)	895	438	346.61	+	1.26	5.39E-05	2.43E-03
positive regulation of apoptotic process (GO:0043065)	560	274	216.88	+	1.26	1.50E-03	4.73E-02
regulation of cellular biosynthetic process (GO:0031326)	4163	2036	1612.24	+	1.26	4.58E-22	2.13E-19
regulation of multicellular organismal development (GO:2000026)	1332	651	515.85	+	1.26	6.17E-07	4.10E-05
regulation of localization (GO:0032879)	2753	1343	1066.18	+	1.26	1.33E-13	2.20E-11
regulation of protein phosphorylation (GO:0001932)	1218	594	471.71	+	1.26	2.79E-06	1.66E-04
regulation of transport (GO:0051049)	1772	864	686.26	+	1.26	9.03E-09	8.49E-07
cellular protein metabolic process (GO:0044267)	3590	1750	1390.33	+	1.26	5.01E-18	1.50E-15
regulation of biosynthetic process (GO:0009889)	4226	2060	1636.64	+	1.26	8.54E-22	3.65E-19
regulation of secretion by cell (GO:1903530)	581	283	225.01	+	1.26	1.57E-03	4.93E-02
macromolecule modification (GO:0043412)	3211	1564	1243.55	+	1.26	8.25E-16	1.98E-13
negative regulation of cellular process (GO:0048523)	4902	2384	1898.44	+	1.26	1.07E-25	9.37E-23
cellular macromolecule metabolic process (GO:0044260)	4909	2386	1901.15	+	1.26	1.31E-25	1.09E-22
negative regulation of metabolic process (GO:0009892)	3095	1503	1198.63	+	1.25	7.42E-15	1.33E-12
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2786	2222.98	+	1.25	4.89E-31	7.72E-28
regulation of phosphate metabolic process (GO:0019220)	1578	765	611.13	+	1.25	1.57E-07	1.17E-05
regulation of phosphorus metabolic process (GO:0051174)	1578	765	611.13	+	1.25	1.57E-07	1.16E-05
lipid biosynthetic process (GO:0008610)	630	305	243.99	+	1.25	1.42E-03	4.52E-02
positive regulation of molecular function (GO:0044093)	1618	783	626.62	+	1.25	1.28E-07	9.71E-06
positive regulation of catalytic activity (GO:0043085)	1240	600	480.23	+	1.25	4.86E-06	2.76E-04
regulation of primary metabolic process (GO:0080090)	5925	2866	2294.62	+	1.25	1.80E-31	3.17E-28
regulation of cellular metabolic process (GO:0031323)	6138	2968	2377.12	+	1.25	6.01E-33	1.36E-29
regulation of intracellular signal transduction (GO:1902531)	1839	889	712.21	+	1.25	1.73E-08	1.59E-06
nucleobase-containing compound metabolic process (GO:0006139)	2705	1307	1047.59	+	1.25	2.39E-12	3.50E-10
regulation of protein metabolic process (GO:0051246)	2665	1287	1032.10	+	1.25	4.48E-12	6.39E-10
positive regulation of cell death (GO:0010942)	638	308	247.08	+	1.25	1.51E-03	4.77E-02
nitrogen compound transport (GO:0071705)	1708	824	661.47	+	1.25	8.13E-08	6.53E-06
phosphorus metabolic process (GO:0006793)	1835	885	710.66	+	1.25	2.78E-08	2.48E-06
positive regulation of signaling (GO:0023056)	1761	849	682.00	+	1.24	5.65E-08	4.78E-06
positive regulation of protein phosphorylation (GO:0001934)	838	404	324.54	+	1.24	2.56E-04	9.98E-03
cellular localization (GO:0051641)	2985	1438	1156.03	+	1.24	2.54E-13	4.10E-11
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	748	601.44	+	1.24	4.54E-07	3.11E-05
macromolecule biosynthetic process (GO:0009059)	1680	809	650.63	+	1.24	1.40E-07	1.05E-05
phosphate-containing compound metabolic process (GO:0006796)	1808	870	700.20	+	1.24	4.83E-08	4.15E-06
positive regulation of phosphorylation (GO:0042327)	921	443	356.68	+	1.24	1.59E-04	6.48E-03
positive regulation of cell communication (GO:0010647)	1755	844	679.67	+	1.24	8.89E-08	7.06E-06
cellular macromolecule biosynthetic process (GO:0034645)	1639	788	634.75	+	1.24	2.47E-07	1.78E-05
positive regulation of cellular process (GO:0048522)	5741	2757	2223.37	+	1.24	3.72E-28	4.52E-25
regulation of cellular protein metabolic process (GO:0032268)	2501	1199	968.58	+	1.24	1.29E-10	1.62E-08
mRNA metabolic process (GO:0016071)	697	334	269.93	+	1.24	1.28E-03	4.13E-02
positive regulation of signal transduction (GO:0009967)	1584	759	613.45	+	1.24	6.41E-07	4.24E-05
protein-containing complex subunit organization (GO:0043933)	1605	769	621.58	+	1.24	5.81E-07	3.91E-05
organelle organization (GO:0006996)	3567	1707	1381.42	+	1.24	3.36E-15	6.73E-13
cellular response to endogenous stimulus (GO:0071495)	1152	551	446.14	+	1.24	3.28E-05	1.58E-03
RNA metabolic process (GO:0016070)	1582	756	612.67	+	1.23	9.08E-07	5.76E-05
regulation of programmed cell death (GO:0043067)	1532	729	593.31	+	1.23	2.39E-06	1.43E-04
establishment of localization in cell (GO:0051649)	2335	1110	904.30	+	1.23	3.26E-09	3.30E-07
response to organonitrogen compound (GO:0010243)	1014	482	392.70	+	1.23	1.69E-04	6.83E-03
negative regulation of protein metabolic process (GO:0051248)	1112	528	430.65	+	1.23	9.03E-05	3.92E-03
regulation of cell death (GO:0010941)	1668	792	645.98	+	1.23	1.12E-06	7.00E-05
organonitrogen compound catabolic process (GO:1901565)	1091	518	422.52	+	1.23	9.94E-05	4.28E-03
cytoskeleton organization (GO:0007010)	1212	575	469.38	+	1.23	4.35E-05	2.01E-03
apoptotic process (GO:0006915)	913	433	353.59	+	1.22	4.33E-04	1.62E-02
negative regulation of cellular protein metabolic process (GO:0032269)	1040	493	402.77	+	1.22	1.78E-04	7.17E-03
positive regulation of phosphorus metabolic process (GO:0010562)	998	473	386.50	+	1.22	2.40E-04	9.44E-03
positive regulation of phosphate metabolic process (GO:0045937)	998	473	386.50	+	1.22	2.40E-04	9.42E-03
regulation of apoptotic process (GO:0042981)	1493	707	578.21	+	1.22	5.90E-06	3.26E-04
cellular aromatic compound metabolic process (GO:0006725)	2937	1390	1137.44	+	1.22	3.87E-11	5.01E-09
heterocycle metabolic process (GO:0046483)	2891	1367	1119.62	+	1.22	6.90E-11	8.72E-09
protein-containing complex assembly (GO:0065003)	1358	642	525.92	+	1.22	1.98E-05	9.99E-04
cellular component organization (GO:0016043)	5783	2733	2239.63	+	1.22	2.65E-24	1.50E-21
cellular component assembly (GO:0022607)	2494	1177	965.87	+	1.22	3.29E-09	3.29E-07
cellular component organization or biogenesis (GO:0071840)	6006	2832	2325.99	+	1.22	5.53E-25	3.98E-22
cellular biosynthetic process (GO:0044249)	2715	1280	1051.46	+	1.22	6.24E-10	7.10E-08
regulation of macromolecule metabolic process (GO:0060255)	6340	2984	2455.35	+	1.22	1.92E-26	1.78E-23
regulation of catalytic activity (GO:0050790)	2433	1145	942.25	+	1.22	9.35E-09	8.74E-07
regulation of metabolic process (GO:0019222)	6874	3230	2662.15	+	1.21	3.16E-29	4.16E-26
response to abiotic stimulus (GO:0009628)	1175	552	455.05	+	1.21	1.33E-04	5.60E-03
negative regulation of biological process (GO:0048519)	5501	2584	2130.42	+	1.21	2.24E-21	8.85E-19
organic substance biosynthetic process (GO:1901576)	2803	1316	1085.54	+	1.21	7.19E-10	8.12E-08
biosynthetic process (GO:0009058)	2865	1345	1109.55	+	1.21	4.47E-10	5.27E-08
regulation of molecular function (GO:0065009)	3118	1463	1207.53	+	1.21	5.91E-11	7.53E-09
response to endogenous stimulus (GO:0009719)	1426	669	552.26	+	1.21	2.65E-05	1.30E-03
protein metabolic process (GO:0019538)	4203	1971	1627.73	+	1.21	4.49E-15	8.55E-13
RNA processing (GO:0006396)	930	436	360.17	+	1.21	8.40E-04	2.86E-02
cellular component biogenesis (GO:0044085)	2754	1290	1066.56	+	1.21	1.75E-09	1.83E-07
cellular nitrogen compound metabolic process (GO:0034641)	3395	1590	1314.81	+	1.21	9.38E-12	1.29E-09
negative regulation of gene expression (GO:0010629)	999	466	386.89	+	1.20	8.06E-04	2.77E-02
cellular catabolic process (GO:0044248)	1812	845	701.75	+	1.20	3.58E-06	2.09E-04
regulation of cellular component movement (GO:0051270)	1032	481	399.67	+	1.20	6.34E-04	2.25E-02
cell-cell signaling (GO:0007267)	1131	527	438.01	+	1.20	3.40E-04	1.30E-02
system development (GO:0048731)	4330	2017	1676.92	+	1.20	1.37E-14	2.41E-12
organic cyclic compound metabolic process (GO:1901360)	3182	1482	1232.32	+	1.20	2.08E-10	2.57E-08
positive regulation of biological process (GO:0048518)	6331	2948	2451.86	+	1.20	1.45E-23	7.65E-21
regulation of gene expression (GO:0010468)	4922	2286	1906.18	+	1.20	1.80E-16	4.75E-14
macromolecule metabolic process (GO:0043170)	6151	2856	2382.15	+	1.20	6.02E-22	2.72E-19
organic substance transport (GO:0071702)	2079	965	805.15	+	1.20	1.09E-06	6.85E-05
cellular metabolic process (GO:0044237)	7542	3499	2920.85	+	1.20	2.74E-29	3.93E-26
nitrogen compound metabolic process (GO:0006807)	6886	3190	2666.80	+	1.20	4.42E-25	3.33E-22
response to nitrogen compound (GO:1901698)	1101	510	426.39	+	1.20	6.65E-04	2.33E-02
regulation of cell population proliferation (GO:0042127)	1654	766	640.56	+	1.20	2.23E-05	1.10E-03
regulation of biological quality (GO:0065008)	3995	1848	1547.18	+	1.19	2.25E-12	3.33E-10
regulation of multicellular organismal process (GO:0051239)	2673	1236	1035.20	+	1.19	3.99E-08	3.47E-06
primary metabolic process (GO:0044238)	7352	3393	2847.27	+	1.19	1.68E-26	1.66E-23
multicellular organism development (GO:0007275)	4941	2278	1913.54	+	1.19	2.57E-15	5.48E-13
proteolysis (GO:0006508)	1306	601	505.79	+	1.19	3.25E-04	1.25E-02
negative regulation of response to stimulus (GO:0048585)	1831	842	709.11	+	1.19	1.85E-05	9.38E-04
organonitrogen compound metabolic process (GO:1901564)	5246	2405	2031.66	+	1.18	1.77E-15	3.90E-13
developmental process (GO:0032502)	5797	2652	2245.05	+	1.18	3.95E-17	1.10E-14
anatomical structure development (GO:0048856)	5330	2437	2064.19	+	1.18	2.70E-15	5.62E-13
movement of cell or subcellular component (GO:0006928)	1596	723	618.10	+	1.17	3.19E-04	1.22E-02
organic substance metabolic process (GO:0071704)	7840	3547	3036.26	+	1.17	5.18E-23	2.56E-20
catabolic process (GO:0009056)	2096	948	811.74	+	1.17	3.35E-05	1.60E-03
animal organ development (GO:0048513)	3220	1456	1247.04	+	1.17	1.07E-07	8.40E-06
organonitrogen compound biosynthetic process (GO:1901566)	1379	623	534.06	+	1.17	1.03E-03	3.38E-02
metabolic process (GO:0008152)	8313	3754	3219.45	+	1.17	1.08E-24	7.40E-22
cellular developmental process (GO:0048869)	3634	1637	1407.37	+	1.16	2.43E-08	2.19E-06
cell differentiation (GO:0030154)	3575	1603	1384.52	+	1.16	9.14E-08	7.22E-06
localization (GO:0051179)	5831	2608	2258.22	+	1.15	4.34E-13	6.73E-11
gene expression (GO:0010467)	2117	946	819.87	+	1.15	1.24E-04	5.26E-03
organic substance catabolic process (GO:1901575)	1769	790	685.10	+	1.15	5.31E-04	1.94E-02
cellular response to organic substance (GO:0071310)	2344	1043	907.78	+	1.15	8.20E-05	3.59E-03
tissue development (GO:0009888)	1729	768	669.60	+	1.15	1.08E-03	3.50E-02
response to organic substance (GO:0010033)	3008	1332	1164.93	+	1.14	1.12E-05	5.90E-04
regulation of response to stimulus (GO:0048583)	4306	1903	1667.62	+	1.14	7.06E-08	5.75E-06
establishment of localization (GO:0051234)	4631	2031	1793.49	+	1.13	1.14E-07	8.80E-06
transport (GO:0006810)	4476	1951	1733.46	+	1.13	8.98E-07	5.72E-05
cellular response to chemical stimulus (GO:0070887)	2914	1256	1128.53	+	1.11	6.74E-04	2.36E-02
regulation of cellular process (GO:0050794)	11351	4864	4396.00	+	1.11	2.22E-19	7.64E-17
regulation of biological process (GO:0050789)	11898	5055	4607.84	+	1.10	4.10E-18	1.24E-15
biological regulation (GO:0065007)	12568	5312	4867.32	+	1.09	1.84E-18	5.72E-16
cellular process (GO:0009987)	15495	6447	6000.88	+	1.07	2.42E-24	1.47E-21
biological_process (GO:0008150)	17851	7255	6913.31	+	1.05	2.29E-24	1.45E-21
regulation of immune system process (GO:0002682)	1717	567	664.96	-	.85	5.53E-04	2.01E-02
immune system process (GO:0002376)	2903	944	1124.27	-	.84	4.11E-07	2.84E-05
system process (GO:0003008)	2057	635	796.63	-	.80	9.79E-08	7.70E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	481	616.93	-	.78	4.72E-07	3.21E-05
regulation of immune response (GO:0050776)	1183	352	458.15	-	.77	5.69E-06	3.18E-04
positive regulation of immune system process (GO:0002684)	1069	315	414.00	-	.76	9.49E-06	5.02E-04
response to biotic stimulus (GO:0009607)	1547	453	599.12	-	.76	3.08E-08	2.72E-06
positive regulation of cell activation (GO:0050867)	440	124	170.40	-	.73	1.47E-03	4.64E-02
inflammatory response (GO:0006954)	498	140	192.86	-	.73	5.79E-04	2.09E-02
response to external biotic stimulus (GO:0043207)	1426	399	552.26	-	.72	1.22E-09	1.31E-07
response to other organism (GO:0051707)	1425	398	551.87	-	.72	1.01E-09	1.11E-07
negative regulation of defense response (GO:0031348)	402	110	155.69	-	.71	8.58E-04	2.91E-02
immune response-regulating signaling pathway (GO:0002764)	495	134	191.70	-	.70	1.55E-04	6.37E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	133	190.54	-	.70	1.48E-04	6.13E-03
epidermis development (GO:0008544)	422	114	163.43	-	.70	4.55E-04	1.69E-02
positive regulation of immune response (GO:0050778)	747	201	289.30	-	.69	1.63E-06	9.98E-05
immune response (GO:0006955)	2075	558	803.60	-	.69	1.61E-16	4.30E-14
regulation of inflammatory response (GO:0050727)	518	138	200.61	-	.69	4.97E-05	2.25E-03
nervous system process (GO:0050877)	1416	374	548.39	-	.68	2.39E-12	3.47E-10
Unclassified (UNCLASSIFIED)	2744	721	1062.69	-	.68	2.29E-24	1.51E-21
negative regulation of immune response (GO:0050777)	373	98	144.45	-	.68	4.18E-04	1.57E-02
skin development (GO:0043588)	385	101	149.10	-	.68	3.46E-04	1.31E-02
defense response (GO:0006952)	1426	372	552.26	-	.67	4.47E-13	6.79E-11
activation of immune response (GO:0002253)	530	135	205.26	-	.66	6.26E-06	3.42E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	115	176.21	-	.65	2.09E-05	1.04E-03
immune response-activating signal transduction (GO:0002757)	455	115	176.21	-	.65	2.09E-05	1.04E-03
leukocyte migration (GO:0050900)	379	93	146.78	-	.63	4.14E-05	1.93E-03
negative regulation of inflammatory response (GO:0050728)	320	78	123.93	-	.63	1.55E-04	6.36E-03
defense response to other organism (GO:0098542)	1038	249	402.00	-	.62	4.42E-13	6.78E-11
response to bacterium (GO:0009617)	721	172	279.23	-	.62	1.48E-09	1.58E-07
innate immune response (GO:0045087)	848	195	328.41	-	.59	2.72E-12	3.90E-10
regulation of immune effector process (GO:0002697)	435	97	168.47	-	.58	2.06E-07	1.50E-05
cell recognition (GO:0008037)	241	51	93.33	-	.55	3.37E-05	1.60E-03
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	45	85.98	-	.52	2.65E-05	1.30E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1305	258	505.40	-	.51	2.42E-27	2.73E-24
epidermal cell differentiation (GO:0009913)	322	63	124.70	-	.51	1.17E-07	9.01E-06
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	40	80.55	-	.50	1.74E-05	8.92E-04
sensory perception (GO:0007600)	979	180	379.15	-	.47	4.97E-24	2.71E-21
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	49	104.18	-	.47	1.49E-07	1.12E-05
membrane invagination (GO:0010324)	148	25	57.32	-	.44	3.83E-05	1.79E-03
cell killing (GO:0001906)	126	21	48.80	-	.43	1.36E-04	5.69E-03
defense response to Gram-positive bacterium (GO:0050830)	104	17	40.28	-	.42	3.53E-04	1.34E-02
plasma membrane invagination (GO:0099024)	141	21	54.61	-	.38	6.23E-06	3.42E-04
lymphocyte mediated immunity (GO:0002449)	259	38	100.31	-	.38	4.20E-10	4.99E-08
defense response to Gram-negative bacterium (GO:0050829)	91	13	35.24	-	.37	2.56E-04	1.00E-02
antimicrobial humoral response (GO:0019730)	154	22	59.64	-	.37	1.17E-06	7.30E-05
cornification (GO:0070268)	113	16	43.76	-	.37	3.01E-05	1.46E-03
adaptive immune response (GO:0002250)	658	88	254.83	-	.35	6.27E-27	6.60E-24
keratinocyte differentiation (GO:0030216)	270	35	104.57	-	.33	4.92E-12	6.94E-10
defense response to bacterium (GO:0042742)	350	45	135.55	-	.33	1.57E-15	3.60E-13
detection of stimulus (GO:0051606)	721	90	279.23	-	.32	4.82E-32	9.52E-29
B cell mediated immunity (GO:0019724)	205	25	79.39	-	.31	4.73E-10	5.54E-08
humoral immune response (GO:0006959)	386	46	149.49	-	.31	1.50E-18	4.75E-16
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	12	39.50	-	.30	8.45E-06	4.51E-04
sensory perception of taste (GO:0050909)	69	8	26.72	-	.30	3.00E-04	1.16E-02
killing of cells of other organism (GO:0031640)	87	10	33.69	-	.30	3.47E-05	1.64E-03
immunoglobulin mediated immune response (GO:0016064)	201	23	77.84	-	.30	1.61E-10	2.00E-08
phagocytosis, engulfment (GO:0006911)	132	15	51.12	-	.29	2.48E-07	1.77E-05
production of molecular mediator of immune response (GO:0002440)	141	16	54.61	-	.29	8.56E-08	6.83E-06
immunoglobulin production (GO:0002377)	138	15	53.44	-	.28	5.74E-08	4.83E-06
regulation of humoral immune response (GO:0002920)	142	15	54.99	-	.27	2.86E-08	2.54E-06
B cell receptor signaling pathway (GO:0050853)	129	11	49.96	-	.22	6.36E-09	6.28E-07
keratinization (GO:0031424)	227	18	87.91	-	.20	7.13E-16	1.76E-13
regulation of complement activation (GO:0030449)	118	9	45.70	-	.20	6.58E-09	6.42E-07
peptide cross-linking (GO:0018149)	102	7	39.50	-	.18	2.16E-08	1.97E-06
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	10	63.90	-	.16	1.16E-13	1.93E-11
detection of stimulus involved in sensory perception (GO:0050906)	557	31	215.71	-	.14	5.70E-46	1.50E-42
phagocytosis, recognition (GO:0006910)	106	5	41.05	-	.12	3.67E-10	4.43E-08
complement activation, classical pathway (GO:0006958)	161	7	62.35	-	.11	1.59E-15	3.60E-13
complement activation (GO:0006956)	177	7	68.55	-	.10	1.83E-17	5.26E-15
sensory perception of chemical stimulus (GO:0007606)	543	21	210.29	-	.10	4.04E-52	1.60E-48
sensory perception of smell (GO:0007608)	468	13	181.25	-	.07	7.22E-50	2.28E-46
sensory perception of bitter taste (GO:0050913)	41	1	15.88	-	.06	3.61E-05	1.71E-03
detection of chemical stimulus (GO:0009593)	522	12	202.16	-	.06	4.71E-58	2.48E-54
opsonization (GO:0008228)	72	1	27.88	-	.04	1.61E-09	1.71E-07
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	13.94	-	 < 0.01	1.49E-05	7.70E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	16.27	-	 < 0.01	2.03E-06	1.23E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	170.79	-	 < 0.01	7.81E-64	6.17E-60
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	188.22	-	 < 0.01	2.25E-70	3.56E-66
